qcDT1,qcDT2,qcDT3,qcMinimum,qcClassification,qcAdditionalInfo
,,SigninLogs,,,
,,AuditLogs,,,
,,AADNonInteractiveUserSignInLogs,,,
,,AADServicePrincipalSignInLogs,,,
,,AADManagedIdentitySignInLogs,,,
,,AADProvisioningLogs,,,
,,ADFSSignInLogs,,,
,,AADUserRiskEvents,,,
,,AADRiskyUsers,,,
,,NetworkAccessTraffic,,,
,,AADRiskyServicePrincipals,,,
,,AADServicePrincipalRiskEvents,,,
,,Azure Active Directory Identity Protection,,,
,,AzureActivity,,,
,,Azure Security Center,,,
,,JuniperSRX,,,
,,OfficeActivity,,,
,,Syslog,,,
,,SecurityEvent,,,
,Tenable_IO_Assets_CL,,1,2,Test
,,CA3_Certificates_CL,,,
