SkuPartNumber,FriendlyName,ShortName,Category,SecurityCategory,SecurityRelevant,Notes,SourceURL
AAD_PREMIUM,Microsoft Entra ID P1,Entra ID P1,Identity,🛡 Security / Identity,True,Microsoft Entra ID Premium P1,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
AAD_PREMIUM_P2,Microsoft Entra ID P2,Entra ID P2,Identity,🛡 Security / Identity,True,Microsoft Entra ID Premium P2,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Entra_ID_Governance,Microsoft Entra ID Governance,Entra ID Governance,Identity Governance,🛡 Security / Identity,True,Identity governance capabilities,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Entra_Internet_Access_Premium,Microsoft Entra Internet Access,Entra Internet Access,Secure Access,🛡 Security / Identity,True,Microsoft Entra Internet Access,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Entra_Private_Access,Microsoft Entra Private Access,Entra Private Access,Secure Access,🛡 Security / Identity,True,Microsoft Entra Private Access,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Intune_Suite,Microsoft Intune Suite,Intune Suite,Endpoint Management,🛡 Security / Identity,True,Advanced Intune capabilities,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
INTUNE_A,Microsoft Intune Plan 1,Intune Plan 1,Endpoint Management,🛡 Security / Identity,True,Microsoft Intune,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
INTUNE_A_VL,Microsoft Intune,Intune,Endpoint Management,🛡 Security / Identity,True,Volume licensing / legacy identifier,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
EMSPREMIUM,Enterprise Mobility + Security E5,EMS E5,Security Suite,🛡 Security / Identity,True,Enterprise Mobility + Security E5,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
EMS,Enterprise Mobility + Security E3,EMS E3,Security Suite,🛡 Security / Identity,True,Enterprise Mobility + Security E3,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
IDENTITY_THREAT_PROTECTION,Microsoft 365 E5 Security,M365 E5 Security,Security Suite,🔐 Security-capable suite,True,Identity and threat protection add-on,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
M365_SECURITY_COMPLIANCE_FOR_FLW,Microsoft 365 E5 Security and Compliance F1,M365 E5 Sec/Comp F1,Security Suite,🔐 Security-capable suite,True,Security and compliance for frontline workers,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Defender_for_Office_365_Plan_1,Microsoft Defender for Office 365 Plan 1,Defender for Office 365 P1,Threat Protection,🛡 Security / Identity,True,Email and collaboration protection,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Defender_for_Office_365_Plan_2,Microsoft Defender for Office 365 Plan 2,Defender for Office 365 P2,Threat Protection,🛡 Security / Identity,True,Advanced email and collaboration protection,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Cloud_App_Security,Microsoft Defender for Cloud Apps,Defender for Cloud Apps,Cloud Security,🛡 Security / Identity,True,Cloud app security,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Cloud_App_Security_App_Governance_Add_On,App governance add-on to Microsoft Defender for Cloud Apps,Defender for Cloud Apps - App Governance,Cloud Security,🛡 Security / Identity,True,App governance add-on,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
WIN_DEF_ATP,Microsoft Defender for Endpoint,Defender for Endpoint,Endpoint Security,🛡 Security / Identity,True,Defender for Endpoint entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
MDATP_XPLAT,Microsoft Defender for Endpoint,Defender for Endpoint,Endpoint Security,🛡 Security / Identity,True,Cross-platform Defender for Endpoint,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
TVM_Premium_Standalone,Microsoft Defender Vulnerability Management Premium,Defender VM Premium,Vulnerability Management,🛡 Security / Identity,True,Defender Vulnerability Management Premium,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
PRIVACY_MANAGEMENT_RISK,Microsoft Priva Privacy Risk Management,Priva Risk Management,Privacy / Compliance,🛡 Security / Identity,True,Privacy risk management,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
COMPLIANCE_MANAGER_PREMIUM_ASSESSMENT_ADDON,Microsoft Purview Compliance Manager Premium Assessment Add-on,Purview Compliance Manager Add-on,Compliance,🛡 Security / Identity,True,Compliance Manager assessment add-on,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
INFORMATION_PROTECTION_COMPLIANCE,Microsoft 365 E5 Compliance,M365 E5 Compliance,Compliance,🔐 Security-capable suite,True,Information protection and compliance,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
INFORMATION_PROTECTION_COMPLIANCE_F,Microsoft 365 F5 Compliance,M365 F5 Compliance,Compliance,🔐 Security-capable suite,True,Frontline compliance capabilities,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
SPE_E5,Microsoft 365 E5,M365 E5,Microsoft 365 Suite,🔐 Security-capable suite,True,Microsoft 365 E5,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
SPE_E3,Microsoft 365 E3,M365 E3,Microsoft 365 Suite,🔐 Security-capable suite,True,Microsoft 365 E3,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_365_E5_(no_Teams),Microsoft 365 E5 (no Teams),M365 E5,Microsoft 365 Suite,🔐 Security-capable suite,True,Microsoft 365 E5 without Teams,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_365_E3_(no_Teams),Microsoft 365 E3 (no Teams),M365 E3,Microsoft 365 Suite,🔐 Security-capable suite,True,Microsoft 365 E3 without Teams,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
MICROSOFT_365_E7,Microsoft 365 E7,M365 E7,Microsoft 365 Suite,🔐 Security-capable suite,True,Microsoft 365 E7 / premium suite identifier,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
ENTERPRISEPREMIUM,Office 365 E5,O365 E5,Office 365 Suite,🔐 Security-capable suite,True,Office 365 E5,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
ENTERPRISEPACK,Office 365 E3,O365 E3,Office 365 Suite,🔐 Security-capable suite,True,Office 365 E3,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
STANDARDPACK,Office 365 E1,O365 E1,Office 365 Suite,🔐 Security-capable suite,True,Office 365 E1,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
M365_F1,Microsoft 365 F1,M365 F1,Frontline Suite,🔐 Security-capable suite,True,Frontline worker suite,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
SPE_F1,Microsoft 365 F3,M365 F3,Frontline Suite,🔐 Security-capable suite,True,Frontline worker suite,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
SPE_F5_SEC,Microsoft 365 F5 Security,M365 F5 Security,Frontline Security,🔐 Security-capable suite,True,Security add-on for frontline users,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
SPE_F5_SECCOMP,Microsoft 365 F5 Security + Compliance,M365 F5 Sec/Comp,Frontline Security,🔐 Security-capable suite,True,Security and compliance add-on for frontline users,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_365_Copilot,Microsoft 365 Copilot,M365 Copilot,AI / Copilot,🔐 Security-capable suite,True,Microsoft 365 Copilot,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Copilot_for_Finance_trial,Microsoft Copilot for Finance Trial,Copilot for Finance Trial,AI / Copilot,📦 General / Other,False,Trial entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Copilot_Studio,Microsoft Copilot Studio,Copilot Studio,AI / Copilot,📦 General / Other,False,Copilot Studio,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
POWER_VIRTUAL_AGENTS,Microsoft Copilot Studio,Copilot Studio,AI / Copilot,📦 General / Other,False,Legacy Power Virtual Agents identifier,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
VISIOCLIENT,Visio Plan 2,Visio Plan 2,Productivity,📦 General / Other,False,Visio desktop and web,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
VISIOONLINE_PLAN1,Visio Plan 1,Visio Plan 1,Productivity,📦 General / Other,False,Visio web,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
STREAM,Microsoft Stream,Stream,Video,📦 General / Other,False,Microsoft Stream,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
POWER_BI_STANDARD,Power BI Free,Power BI Free,Analytics,📦 General / Other,False,Power BI free,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
POWER_BI_PRO,Power BI Pro,Power BI Pro,Analytics,📦 General / Other,False,Power BI Pro,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
PBI_PREMIUM_PER_USER,Power BI Premium Per User,Power BI PPU,Analytics,📦 General / Other,False,Power BI Premium Per User,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
FLOW_FREE,Power Automate Free,Power Automate Free,Automation,📦 General / Other,False,Power Automate free entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
FLOW_P1,Power Automate Premium,Power Automate Premium,Automation,📦 General / Other,False,Power Automate premium,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
POWERAPPS_VIRAL,Power Apps Developer / Trial,Power Apps,Low Code,📦 General / Other,False,Power Apps viral / self-service entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
POWERAPPS_PER_USER,Power Apps Premium,Power Apps Premium,Low Code,📦 General / Other,False,Power Apps premium,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
OFFICE365_MULTIGEO,Microsoft 365 Multi-Geo,M365 Multi-Geo,Data Residency,🔐 Security-capable suite,True,Multi-Geo capabilities,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
TEAMS_EXPLORATORY,Microsoft Teams Exploratory,Teams Exploratory,Collaboration,📦 General / Other,False,Teams exploratory,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
MCOEV,Microsoft Teams Phone Standard,Teams Phone Standard,Voice,📦 General / Other,False,Teams Phone,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
MCOPSTN2,Microsoft Teams Domestic and International Calling Plan,Teams Intl Calling,Voice,📦 General / Other,False,Calling plan,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Teams_Phone_with_domestic_and_international_calling,Teams Phone with Domestic and International Calling,Teams Phone + Intl Calling,Voice,📦 General / Other,False,Teams Phone bundle,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
MCOMEETADV,Microsoft 365 Audio Conferencing,Audio Conferencing,Voice,📦 General / Other,False,Audio Conferencing,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
DYN365_TEAM_MEMBERS,Dynamics 365 Team Members,D365 Team Members,Dynamics 365,📦 General / Other,False,Dynamics 365 Team Members,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
DYN365_BUSINESS_MARKETING,Dynamics 365 Marketing,D365 Marketing,Dynamics 365,📦 General / Other,False,Dynamics 365 Marketing,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
CPC_E_2C_8GB_128GB,Windows 365 Enterprise 2 vCPU / 8 GB / 128 GB,Windows 365 E 2C/8/128,Cloud PC,📦 General / Other,False,Windows 365 Enterprise Cloud PC,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
CPC_E_4C_16GB_128GB,Windows 365 Enterprise 4 vCPU / 16 GB / 128 GB,Windows 365 E 4C/16/128,Cloud PC,📦 General / Other,False,Windows 365 Enterprise Cloud PC,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
CPC_E_8C_32GB_128GB,Windows 365 Enterprise 8 vCPU / 32 GB / 128 GB,Windows 365 E 8C/32/128,Cloud PC,📦 General / Other,False,Windows 365 Enterprise Cloud PC,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
CPC_E_8C_32GB_512GB,Windows 365 Enterprise 8 vCPU / 32 GB / 512 GB,Windows 365 E 8C/32/512,Cloud PC,📦 General / Other,False,Windows 365 Enterprise Cloud PC,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
PROJECTPREMIUM,Project Plan 5,Project Plan 5,Project,📦 General / Other,False,Microsoft Project,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
PROJECTPROFESSIONAL,Project Plan 3,Project Plan 3,Project,📦 General / Other,False,Microsoft Project,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
PROJECTESSENTIALS,Project Plan 1,Project Plan 1,Project,📦 General / Other,False,Microsoft Project,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
EXCHANGESTANDARD,Exchange Online Plan 1,Exchange Online P1,Messaging,📦 General / Other,False,Exchange Online,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
EXCHANGEENTERPRISE,Exchange Online Plan 2,Exchange Online P2,Messaging,📦 General / Other,False,Exchange Online,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
SHAREPOINTSTANDARD,SharePoint Online Plan 1,SharePoint Online P1,Collaboration,📦 General / Other,False,SharePoint Online,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
SHAREPOINTENTERPRISE,SharePoint Online Plan 2,SharePoint Online P2,Collaboration,📦 General / Other,False,SharePoint Online,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
WINDOWS_STORE,Windows Store,Windows Store,Windows,📦 General / Other,False,Windows Store entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
