Continent,CountryOrRegion,RegionCode,RegionDisplayName,SIEMSupported,DataLakeSupported,DataLakeBCDRSupported,SourceURL,BCDRSourceURL,LastVerified
North America,Canada,canadacentral,Canada Central,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,Canada,canadaeast,Canada East,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,centralus,Central US,true,true,true,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,eastus,East US,true,true,true,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,eastus2,East US 2,true,true,true,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,eastus2euap,East US 2 EUAP,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,northcentralus,North Central US,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,southcentralus,South Central US,true,true,true,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,westus,West US,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,westus2,West US 2,true,true,true,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,westus3,West US 3,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States,westcentralus,West Central US,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States Government,usgovarizona,USGov Arizona,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States Government,usgovvirginia,USGov Virginia,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States Government,usnateast,USNat East,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States Government,usnatwest,USNat West,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States Government,usseceast,USSec East,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
North America,United States Government,ussecwest,USSec West,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
South America,Brazil,brazilsouth,Brazil South,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
South America,Brazil,brazilsoutheast,Brazil Southeast,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,Asia,eastasia,East Asia,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,Asia,southeastasia,Southeast Asia,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,China 21Vianet,chinaeast2,China East 2,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,China 21Vianet,chinanorth3,China North 3,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,India,centralindia,Central India,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,India,jioindiawest,Jio India West,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,India,jioindiacentral,Jio India Central,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,Israel,israelcentral,Israel Central,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,Japan,japaneast,Japan East,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,Japan,japanwest,Japan West,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,Korea,koreacentral,Korea Central,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,Korea,koreasouth,Korea South,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,Qatar,qatarcentral,Qatar Central,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,UAE,uaecentral,UAE Central,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Asia and Middle East,UAE,uaenorth,UAE North,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Europe,northeurope,North Europe,true,true,true,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Europe,westeurope,West Europe,true,true,true,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,France,francecentral,France Central,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
